winner,loser,winner_score,loser_score,date,duration,clan_battle
1918,1395,34,-34,2018-09-10,05:49:00,
1058,890,45,-35,2021-05-20,00:24:00,188
1350,1883,14,-45,2021-01-10,02:29:00,
1722,490,34,-10,2020-01-02,01:28:00,
1108,657,41,-9,2020-09-02,01:51:00,
1675,1909,30,-15,2020-10-21,04:18:00,
1942,652,36,-43,2020-07-09,04:05:00,
1042,776,19,-8,2021-05-25,00:15:00,
1486,993,35,-39,2020-09-17,06:16:00,
836,993,29,-12,2020-10-11,07:52:00,
1860,604,43,-5,2019-06-25,00:02:00,
742,563,21,-10,2021-10-09,03:01:00,
749,1639,35,-42,2021-03-13,01:20:00,
1529,812,21,-32,2021-07-14,02:35:00,
561,649,18,-18,2020-02-23,05:52:00,
1304,603,19,-32,2020-03-28,04:10:00,
1877,1356,27,-25,2020-07-04,03:14:00,
1734,1923,21,-37,2020-03-12,07:13:00,144
282,998,22,-41,2019-07-02,05:26:00,
906,678,14,-19,2021-01-06,02:33:00,
275,871,29,-33,2019-08-23,06:34:00,
304,1018,12,-12,2018-03-03,06:11:00,
1539,445,29,-44,2021-02-16,07:02:00,112
1469,825,34,-23,2018-12-30,02:45:00,
280,143,28,-15,2020-06-06,00:32:00,
1127,453,20,-38,2021-02-22,04:58:00,
862,1798,20,-39,2020-07-07,07:58:00,
1283,1937,19,-42,2019-12-17,02:06:00,
590,529,34,-17,2021-09-27,00:21:00,
838,550,12,-29,2018-05-21,00:27:00,
549,1431,32,-5,2019-08-16,07:09:00,
1983,1200,43,-13,2018-01-31,00:41:00,
1591,670,25,-33,2018-10-22,04:12:00,
768,1559,29,-43,2019-05-20,05:50:00,
1873,1447,24,-36,2020-07-07,07:49:00,
1039,1145,43,-27,2019-11-07,02:32:00,90
1260,1581,36,-8,2021-08-03,00:05:00,
1749,330,32,-29,2018-08-26,03:42:00,
861,428,10,-15,2019-12-06,01:33:00,
792,1480,35,-37,2019-03-29,02:52:00,
708,1359,28,-6,2020-08-14,04:49:00,
1757,1629,12,-45,2020-07-14,05:59:00,
1340,101,30,-8,2021-04-19,03:45:00,
1343,887,32,-23,2018-07-02,05:52:00,
895,252,11,-20,2019-05-17,01:13:00,
362,1629,27,-13,2018-05-02,04:05:00,84
1605,175,25,-23,2018-02-15,05:35:00,
943,1417,27,-9,2018-05-27,00:33:00,
1728,261,33,-20,2020-09-28,06:46:00,
407,1076,13,-30,2021-11-09,04:28:00,
1635,1041,35,-8,2021-06-25,02:20:00,
1224,136,18,-44,2019-06-22,00:44:00,
1510,894,25,-43,2021-09-28,03:59:00,
1140,1995,24,-33,2019-09-04,01:49:00,
204,350,39,-28,2021-06-09,02:54:00,
327,591,16,-36,2018-08-29,01:12:00,
1808,885,15,-6,2019-07-17,00:19:00,
529,177,31,-24,2021-09-28,02:09:00,
1470,234,35,-26,2019-08-29,01:27:00,
1266,1309,13,-37,2019-07-01,04:56:00,
1714,617,38,-32,2019-05-01,07:41:00,
1580,691,15,-42,2020-02-19,07:40:00,
1752,908,19,-20,2019-12-15,01:12:00,
556,1037,40,-31,2018-08-01,03:15:00,
796,1887,14,-5,2021-04-30,04:58:00,
558,709,31,-11,2020-08-06,05:12:00,
1925,1469,18,-43,2019-03-25,06:12:00,
611,1261,29,-45,2020-05-30,01:11:00,
848,1295,24,-14,2020-09-15,02:58:00,
1948,408,12,-24,2021-01-21,05:10:00,
982,1527,42,-42,2020-12-02,04:55:00,
1211,990,12,-38,2018-06-29,03:12:00,
1591,1741,34,-26,2021-01-12,05:24:00,
1930,1652,23,-13,2019-03-19,00:52:00,
125,1270,35,-16,2020-04-09,00:22:00,
296,774,45,-25,2018-01-27,05:54:00,
798,822,23,-42,2018-11-13,00:00:00,
1950,717,39,-17,2019-07-15,00:26:00,
611,761,38,-11,2020-08-11,04:13:00,
1582,1749,43,-26,2019-06-02,02:03:00,
940,1149,15,-41,2021-08-09,05:12:00,
276,887,21,-21,2021-04-17,07:40:00,
1315,1495,34,-35,2020-10-21,00:03:00,
1451,373,26,-26,2019-09-27,04:29:00,
1847,1801,14,-6,2019-07-22,02:09:00,
1149,1174,12,-44,2018-01-25,04:07:00,177
245,1138,17,-18,2018-08-30,02:47:00,
1508,1497,16,-33,2019-06-24,03:44:00,
921,356,20,-23,2019-10-29,00:06:00,
1159,2001,28,-32,2019-08-11,01:28:00,
1026,292,29,-13,2018-01-30,07:46:00,17
846,866,44,-13,2020-10-18,02:43:00,
1962,651,23,-38,2019-06-23,07:33:00,153
1766,1487,15,-37,2018-10-21,00:14:00,
881,732,35,-28,2019-04-12,03:59:00,
935,781,17,-43,2019-12-30,02:23:00,90
754,808,42,-38,2019-04-04,04:07:00,126
1481,1957,39,-22,2018-07-09,04:50:00,
1037,1042,13,-21,2020-10-08,03:43:00,
1488,1721,12,-33,2019-09-21,07:13:00,
1340,1194,17,-24,2021-08-06,03:54:00,
114,146,37,-13,2020-06-16,05:08:00,45
1532,1197,18,-36,2021-01-05,06:07:00,
1615,1003,10,-20,2020-07-31,02:20:00,
719,564,23,-39,2020-06-15,03:52:00,
867,334,26,-41,2021-03-20,01:37:00,
1551,110,26,-33,2020-07-22,06:19:00,127
1735,1865,15,-6,2018-07-26,01:40:00,
314,793,19,-44,2019-06-09,03:49:00,
764,1820,39,-28,2020-10-03,02:53:00,114
550,359,30,-31,2021-03-05,06:43:00,
590,1807,31,-34,2019-08-22,00:33:00,28
350,1178,31,-44,2019-03-06,04:35:00,
414,1028,31,-20,2018-07-18,03:18:00,
538,1347,31,-8,2020-09-02,05:57:00,89
1579,1288,18,-44,2020-01-18,03:11:00,
1201,1414,13,-40,2019-10-30,03:14:00,62
816,1551,15,-16,2019-09-24,05:05:00,
486,930,40,-43,2018-10-20,01:40:00,
494,177,20,-14,2021-06-22,05:48:00,
874,1193,31,-25,2018-08-20,00:33:00,17
1649,384,29,-9,2018-05-15,06:21:00,90
1375,1661,34,-21,2018-12-07,06:15:00,
1181,1117,36,-24,2018-02-17,04:37:00,46
1034,1548,23,-24,2020-12-09,06:42:00,
1205,1647,40,-32,2019-05-06,01:34:00,
658,319,29,-43,2020-04-17,04:25:00,
1115,1416,42,-9,2021-03-22,00:33:00,
908,912,14,-36,2019-07-30,01:56:00,
1987,1121,40,-21,2018-06-02,02:22:00,
1198,634,29,-25,2020-10-04,06:54:00,
416,281,28,-18,2019-11-05,00:35:00,
1506,1138,28,-31,2018-02-13,02:36:00,
642,1339,23,-36,2019-09-15,07:34:00,
161,144,30,-16,2020-06-11,05:51:00,
1437,1202,29,-17,2019-05-07,01:00:00,67
823,1204,45,-43,2018-04-19,06:33:00,
588,924,30,-24,2018-12-24,07:58:00,
1347,1034,34,-26,2018-06-17,03:55:00,
558,801,27,-30,2020-10-18,00:46:00,
1154,1949,19,-25,2021-05-21,00:01:00,171
1566,1862,26,-29,2018-11-17,04:18:00,
1092,1952,41,-7,2019-10-09,02:02:00,76
1721,1687,29,-7,2020-02-12,06:10:00,
314,1489,25,-24,2021-06-01,06:26:00,
388,183,15,-45,2019-10-22,02:11:00,
798,1575,19,-44,2021-05-26,05:11:00,
758,1486,16,-22,2021-01-20,00:01:00,
1234,689,35,-17,2019-04-30,07:28:00,
842,246,33,-5,2018-10-12,01:37:00,
1619,263,39,-29,2021-07-30,04:47:00,
471,927,27,-5,2021-08-18,06:17:00,
967,1722,39,-34,2019-08-21,00:13:00,48
1464,1684,16,-43,2020-02-20,05:33:00,
902,1416,38,-17,2018-02-25,03:04:00,
1095,422,28,-5,2018-10-02,01:50:00,18
877,562,31,-43,2018-10-17,05:23:00,
912,1063,44,-14,2018-05-12,02:16:00,
1062,1527,23,-22,2019-06-08,05:35:00,
558,952,43,-19,2018-07-29,06:27:00,
599,1739,39,-25,2021-10-01,04:04:00,
1177,439,15,-6,2020-10-30,07:03:00,
724,624,37,-23,2019-05-13,04:34:00,
1387,648,41,-25,2020-06-03,06:23:00,66
1982,661,29,-32,2021-03-11,04:28:00,
1009,377,37,-24,2020-04-29,06:19:00,89
677,1916,39,-13,2020-02-17,03:37:00,
453,739,28,-16,2021-05-27,05:37:00,
956,527,18,-9,2020-12-29,03:31:00,
1651,1583,36,-19,2021-02-14,04:12:00,
1619,945,25,-24,2021-09-02,04:28:00,
1696,285,37,-14,2019-08-22,05:32:00,163
877,1642,32,-6,2020-06-28,07:54:00,21
1142,1579,45,-37,2018-01-26,01:07:00,
166,1927,33,-44,2018-02-22,04:23:00,
1646,1695,13,-17,2018-09-15,01:32:00,79
1741,1915,25,-25,2018-06-15,03:28:00,
1309,299,33,-39,2020-10-17,02:12:00,
346,1755,28,-24,2019-09-11,02:08:00,
704,1498,25,-39,2020-03-30,02:20:00,179
512,564,28,-13,2021-04-03,06:47:00,
1828,741,11,-17,2021-04-19,06:14:00,
1409,843,13,-11,2020-06-08,06:03:00,
828,1988,21,-40,2018-02-26,06:03:00,163
1563,1311,30,-7,2020-09-18,06:23:00,
869,876,18,-22,2020-11-27,06:15:00,
561,147,24,-22,2021-01-30,05:28:00,64
1214,1542,26,-39,2021-04-03,01:24:00,
115,754,33,-22,2018-08-17,02:59:00,155
1990,475,34,-22,2018-05-01,04:14:00,53
1105,1641,24,-26,2019-05-11,00:48:00,
1785,346,11,-34,2019-07-04,01:58:00,
1781,494,20,-25,2018-08-14,07:46:00,
1657,651,39,-43,2019-05-19,01:56:00,
671,501,24,-17,2020-05-20,01:31:00,
1412,722,29,-43,2018-10-01,02:05:00,
1383,1739,45,-22,2019-05-16,03:11:00,
1452,1990,25,-6,2019-12-30,03:28:00,
1392,1159,24,-38,2020-12-02,07:07:00,
1931,808,11,-42,2019-10-04,07:44:00,
671,1190,38,-7,2021-01-01,06:54:00,
1931,1692,24,-31,2019-12-12,02:25:00,
219,1291,13,-25,2021-09-11,03:50:00,
1652,1884,45,-23,2018-10-10,01:56:00,162
1658,1419,22,-34,2018-01-03,00:45:00,
1161,866,12,-37,2021-01-26,02:55:00,
1334,262,39,-7,2021-05-29,05:21:00,79
637,1783,11,-34,2018-02-24,05:12:00,
398,905,38,-11,2020-08-28,01:43:00,151
1159,390,17,-7,2021-03-26,00:30:00,58
1680,896,14,-42,2019-11-29,07:32:00,
599,245,21,-13,2019-07-11,04:03:00,
1964,268,13,-16,2019-04-27,07:00:00,
1271,1357,26,-13,2018-07-31,04:19:00,
122,1778,15,-35,2020-06-28,00:40:00,4
1811,1616,12,-31,2021-11-04,04:52:00,
1029,893,37,-23,2021-09-16,07:38:00,
272,1895,13,-42,2019-03-02,07:57:00,
684,1918,27,-9,2019-10-13,07:29:00,189
1659,1368,21,-44,2019-03-23,07:20:00,
202,688,18,-32,2019-02-18,07:32:00,
1020,1727,41,-8,2018-06-18,02:21:00,
955,843,25,-43,2019-11-14,07:07:00,
207,1642,24,-45,2021-01-08,04:11:00,
935,1654,10,-12,2019-02-06,04:54:00,
1585,433,35,-33,2020-06-09,05:43:00,
577,1579,11,-34,2019-02-01,02:07:00,127
1283,801,20,-5,2019-04-20,00:23:00,
1818,794,28,-27,2019-04-12,04:54:00,
1332,1096,33,-22,2021-05-09,02:14:00,
280,1595,27,-19,2021-10-15,07:56:00,164
1195,1425,35,-7,2019-05-19,03:25:00,
811,1311,29,-23,2021-05-25,01:45:00,
1504,562,26,-20,2021-01-08,01:12:00,
635,994,26,-10,2020-05-29,03:53:00,
1599,172,29,-38,2020-09-30,03:55:00,192
136,1806,16,-34,2020-09-20,07:52:00,107
1878,1036,42,-15,2019-07-20,03:21:00,
1937,976,31,-24,2021-01-02,07:56:00,
629,1581,45,-15,2018-04-04,05:51:00,
1858,1508,20,-14,2021-01-02,00:17:00,
1696,1132,41,-24,2021-11-11,01:45:00,
1492,1669,26,-38,2018-05-11,01:33:00,
109,1056,25,-15,2020-06-23,03:40:00,
769,710,43,-25,2019-11-24,07:14:00,
970,338,19,-44,2018-09-22,01:54:00,
1531,1641,28,-40,2020-12-02,04:58:00,
624,1642,17,-7,2019-02-13,04:37:00,
1287,285,13,-12,2020-04-12,00:38:00,
732,1725,22,-18,2021-06-30,02:31:00,
401,174,17,-29,2021-10-04,03:13:00,
873,1249,37,-27,2020-01-24,07:27:00,
683,294,14,-36,2019-05-01,07:51:00,
481,143,15,-20,2019-01-24,06:41:00,
1549,1109,24,-20,2018-03-03,03:16:00,
993,1004,25,-37,2018-01-03,00:42:00,
1719,1086,30,-21,2018-08-16,07:07:00,3
664,1594,40,-27,2020-08-01,04:40:00,
1177,1965,42,-17,2019-03-02,05:33:00,
1270,1599,29,-9,2020-03-20,05:40:00,
1322,577,41,-6,2018-08-08,02:05:00,
1341,293,24,-32,2020-08-12,05:56:00,
1578,1148,28,-9,2020-03-25,04:42:00,
1519,188,33,-30,2020-01-17,07:15:00,
160,1926,21,-19,2020-02-05,01:10:00,
1841,1424,16,-26,2019-07-11,07:08:00,
438,1857,41,-37,2020-07-18,06:30:00,
581,1114,25,-22,2021-11-07,02:31:00,
1648,205,16,-13,2018-09-25,04:02:00,
1516,190,16,-36,2018-09-05,01:44:00,56
1326,167,32,-27,2019-11-13,00:01:00,
1760,1936,13,-18,2018-05-11,00:28:00,
1358,1970,20,-21,2019-10-20,02:02:00,
1600,1743,34,-32,2020-08-22,04:58:00,
1200,1222,11,-37,2018-09-01,04:40:00,
1902,1357,29,-16,2020-06-04,02:58:00,
706,543,14,-13,2020-09-15,01:42:00,
1536,615,36,-14,2020-01-08,02:59:00,
1749,532,14,-33,2020-10-10,04:17:00,89
283,690,40,-41,2020-05-18,03:54:00,
817,1344,10,-19,2021-05-28,00:50:00,89
1065,1542,13,-40,2021-08-25,03:56:00,135
1052,1307,21,-8,2019-08-29,04:52:00,
190,1993,20,-27,2019-01-12,00:05:00,4
512,1080,25,-13,2018-09-08,06:13:00,
893,1291,30,-22,2021-10-18,02:17:00,
1333,609,44,-31,2019-07-17,01:01:00,
207,1662,12,-30,2018-10-13,04:56:00,
1340,1602,17,-31,2018-10-13,00:35:00,
474,748,28,-10,2018-02-17,07:56:00,190
1338,1739,37,-22,2020-07-11,01:32:00,
1009,511,40,-22,2019-01-13,00:36:00,
1311,1621,10,-41,2020-08-11,07:02:00,107
333,1979,44,-41,2019-12-13,01:37:00,73
634,1615,41,-9,2018-05-02,06:12:00,
298,1530,35,-9,2021-08-24,06:20:00,
1124,1662,22,-25,2018-10-16,07:19:00,
1429,118,10,-10,2019-04-19,03:04:00,
1253,1658,43,-12,2019-02-15,03:20:00,
1131,298,26,-43,2019-08-06,05:01:00,
136,381,37,-34,2019-06-13,06:16:00,
924,580,18,-35,2021-10-30,01:15:00,110
1859,1311,16,-28,2021-02-07,03:56:00,
1572,1224,33,-36,2018-06-29,06:15:00,
363,547,37,-35,2021-03-29,01:55:00,
1328,1752,27,-24,2018-12-10,07:51:00,
1460,792,31,-30,2020-12-14,01:23:00,169
1831,878,45,-42,2018-05-07,00:32:00,
1359,991,29,-15,2019-03-03,07:02:00,
1340,865,12,-44,2018-02-25,03:36:00,46
1101,848,38,-34,2021-04-26,04:51:00,
111,1285,25,-35,2020-12-20,06:41:00,
882,1739,10,-44,2021-03-21,01:19:00,24
1532,1629,27,-39,2020-07-06,04:54:00,
1367,367,30,-8,2019-10-06,03:19:00,
1001,172,36,-7,2021-05-11,07:35:00,
308,818,39,-23,2019-11-22,06:04:00,
473,1697,42,-42,2021-10-21,03:24:00,
1865,1389,17,-17,2021-07-21,03:43:00,
669,884,30,-24,2020-02-24,04:35:00,175
1798,1691,16,-15,2020-06-23,00:51:00,
1909,1394,16,-34,2019-03-07,07:34:00,
175,386,27,-23,2019-06-10,04:59:00,
295,944,35,-39,2020-07-10,04:40:00,
1241,1532,23,-45,2021-04-03,04:11:00,
129,1579,38,-36,2019-10-28,02:36:00,
1240,756,14,-44,2018-06-10,00:27:00,
1180,1682,29,-33,2020-01-18,02:34:00,
1361,1592,45,-30,2018-04-24,04:33:00,
750,416,24,-10,2020-10-10,04:44:00,83
1917,779,13,-39,2020-10-15,04:30:00,
840,1501,25,-8,2021-09-23,04:44:00,140
1696,615,18,-23,2020-07-18,03:34:00,
1904,1175,38,-6,2020-11-09,02:28:00,
1563,287,39,-39,2020-11-03,05:35:00,
2008,830,34,-32,2018-10-28,03:26:00,
1474,464,20,-16,2020-01-12,00:29:00,148
200,1943,42,-10,2020-10-12,06:47:00,
1632,337,39,-6,2021-07-08,04:29:00,
825,1862,39,-26,2020-06-30,06:35:00,7
301,1692,26,-15,2021-02-21,01:54:00,
172,1205,12,-25,2019-03-01,04:35:00,40
733,1468,20,-10,2020-03-18,03:51:00,74
789,1762,16,-19,2021-08-25,05:17:00,129
976,1157,29,-16,2020-04-26,04:17:00,
1923,293,32,-36,2020-05-29,07:09:00,
1458,858,22,-20,2021-03-15,02:07:00,68
1073,1537,12,-12,2020-05-12,01:20:00,
1995,1216,17,-10,2018-01-31,02:05:00,
521,1611,35,-39,2019-09-15,07:10:00,
796,706,14,-35,2021-02-04,00:54:00,151
870,924,11,-11,2021-01-28,00:01:00,78
1098,1795,19,-29,2021-05-27,06:27:00,
1665,855,23,-34,2018-11-18,04:25:00,
1257,303,14,-5,2021-05-07,05:40:00,
680,697,22,-22,2018-11-22,01:48:00,
832,1806,43,-18,2018-05-24,03:28:00,
680,218,13,-25,2021-10-09,07:21:00,
1070,465,21,-45,2020-06-29,03:10:00,
716,1236,42,-37,2018-03-19,00:59:00,
342,159,29,-37,2019-05-27,05:02:00,
280,1698,31,-30,2021-11-11,00:45:00,50
482,932,26,-33,2019-03-15,07:31:00,
176,1162,40,-5,2019-12-28,04:25:00,
1727,565,42,-36,2018-10-30,00:23:00,
1963,1898,21,-33,2018-08-08,05:00:00,
1969,1434,15,-39,2018-03-31,05:59:00,
1988,1796,22,-32,2018-08-30,06:17:00,
265,1465,27,-36,2021-04-21,02:16:00,2
1941,624,12,-45,2020-07-21,05:25:00,
403,210,32,-26,2018-07-18,06:47:00,
2002,1633,26,-18,2018-06-10,07:17:00,
1224,620,28,-39,2018-05-14,01:27:00,
649,750,45,-27,2020-04-24,06:54:00,
1626,367,37,-29,2019-08-08,06:29:00,95
423,1823,31,-16,2018-06-25,06:37:00,
1329,950,17,-25,2020-08-13,00:51:00,
631,1765,23,-12,2018-05-04,04:46:00,
1709,115,34,-26,2018-07-31,01:10:00,125
405,1049,23,-22,2021-07-08,06:18:00,
1363,549,14,-5,2018-01-17,04:23:00,
374,1048,43,-29,2018-02-26,05:32:00,
1785,1468,43,-37,2021-07-30,07:12:00,
1469,934,28,-25,2020-07-29,05:00:00,
1950,1446,15,-35,2018-06-07,01:53:00,
1357,1611,45,-35,2019-01-10,02:08:00,
1822,1320,13,-16,2020-09-12,06:54:00,
1480,1803,22,-7,2021-01-02,06:34:00,
572,1945,32,-43,2021-05-14,00:12:00,
1633,2000,14,-35,2019-02-22,06:25:00,
1608,1758,30,-37,2019-05-09,01:42:00,
1606,448,18,-38,2019-09-27,01:54:00,174
1670,1988,17,-28,2021-07-17,02:45:00,
938,1460,34,-18,2019-08-14,00:06:00,
932,798,17,-16,2021-10-23,00:52:00,
1606,463,18,-14,2019-04-05,01:12:00,
2003,495,12,-14,2020-05-13,02:17:00,
1251,300,33,-45,2021-11-09,01:06:00,116
879,351,32,-33,2021-05-18,07:46:00,
1009,207,40,-19,2018-08-02,07:32:00,
1246,129,45,-34,2018-07-30,01:36:00,
593,1642,29,-23,2019-01-14,07:12:00,
1223,1710,27,-41,2018-07-09,03:36:00,
1417,1454,15,-6,2019-07-17,02:38:00,
1722,1676,10,-37,2021-09-22,04:31:00,
334,188,33,-14,2018-01-19,01:34:00,
1180,958,31,-8,2021-09-02,05:28:00,
1167,1516,29,-6,2019-05-23,05:56:00,
813,1408,20,-11,2020-10-08,07:04:00,
1374,1793,41,-35,2019-04-22,00:49:00,
1952,723,10,-21,2019-01-25,03:51:00,
354,843,27,-30,2021-03-01,02:56:00,
1547,246,12,-37,2018-09-13,05:00:00,
1459,1661,10,-26,2018-03-13,04:55:00,169
1528,1110,39,-44,2020-09-18,05:05:00,32
317,1011,22,-6,2020-11-08,05:28:00,
812,609,19,-16,2021-08-23,01:34:00,139
487,793,29,-11,2019-08-31,01:40:00,
1188,672,26,-25,2018-11-26,03:07:00,
588,1815,44,-26,2018-02-14,06:22:00,
1922,921,18,-43,2021-09-02,06:00:00,
403,1313,36,-23,2019-05-25,07:37:00,
560,1801,32,-27,2020-03-18,01:41:00,
1697,1066,36,-38,2020-05-05,07:32:00,
697,1377,37,-8,2020-06-22,04:04:00,
1063,1419,41,-17,2021-10-20,06:07:00,38
1982,1765,28,-13,2018-01-11,05:01:00,
767,1231,14,-11,2018-03-02,05:30:00,125
1500,803,13,-34,2019-09-02,04:11:00,
213,841,10,-17,2020-07-27,04:54:00,
1016,1934,36,-16,2021-06-30,04:10:00,165
343,1633,17,-41,2019-03-10,04:19:00,
199,1428,39,-26,2020-11-13,00:09:00,
1897,1725,42,-7,2021-10-25,03:56:00,
1644,488,30,-39,2020-09-23,03:42:00,13
658,1296,41,-45,2018-05-21,01:24:00,
1576,1389,44,-18,2018-05-21,02:48:00,
1420,1397,22,-25,2018-10-31,00:41:00,
935,1064,27,-10,2020-11-09,00:49:00,
1311,173,18,-27,2020-12-16,05:55:00,
1700,1287,40,-7,2018-03-08,01:30:00,
1560,442,22,-26,2019-07-05,03:00:00,
397,1994,36,-19,2020-08-15,06:35:00,
994,784,23,-11,2019-05-06,06:51:00,
654,1293,33,-14,2021-04-16,02:11:00,
1115,654,31,-23,2019-11-07,01:33:00,
1878,1864,31,-8,2018-10-10,05:50:00,
504,760,12,-22,2021-02-28,06:10:00,164
1063,1490,38,-39,2020-07-09,05:51:00,
1334,153,18,-27,2020-05-24,03:19:00,
1006,1480,24,-35,2020-06-18,05:40:00,160
1693,628,13,-8,2020-01-09,01:08:00,37
1516,1968,31,-44,2021-07-28,03:07:00,
1419,1313,29,-27,2019-11-09,03:02:00,
271,1340,15,-28,2021-09-20,00:02:00,
1899,2006,20,-24,2020-07-26,02:44:00,
1238,1009,10,-28,2018-11-17,06:02:00,
885,1099,36,-15,2019-08-08,05:09:00,124
682,1808,31,-45,2018-05-17,04:29:00,
639,1188,26,-29,2020-10-09,01:59:00,
808,1186,28,-20,2019-02-22,03:13:00,
1046,1407,15,-12,2020-07-09,06:34:00,
168,1138,23,-27,2021-09-20,01:37:00,
1666,1163,34,-23,2018-09-26,03:37:00,
1651,113,29,-38,2019-03-06,02:53:00,
1792,601,41,-24,2020-10-03,07:52:00,
545,1019,33,-11,2019-02-20,01:24:00,
1631,1370,30,-19,2018-01-03,03:56:00,38
372,1852,25,-45,2018-01-05,05:56:00,34
958,1688,35,-32,2020-10-14,07:41:00,
1888,766,43,-6,2019-05-13,02:25:00,
718,522,34,-15,2018-09-10,01:24:00,
1636,856,30,-45,2020-09-06,07:54:00,
1000,731,14,-16,2021-02-19,04:17:00,11
734,1325,26,-16,2020-10-18,06:43:00,
188,1565,18,-30,2019-10-19,00:12:00,
679,700,19,-6,2018-11-21,00:17:00,
1759,719,15,-30,2018-05-26,05:26:00,
1412,690,19,-12,2018-08-23,04:32:00,
1811,378,10,-31,2021-10-17,03:59:00,
706,210,37,-10,2021-09-10,00:19:00,
1770,1271,30,-40,2020-07-21,05:17:00,
1565,426,18,-17,2021-01-10,06:26:00,
1614,1902,34,-35,2020-09-19,00:02:00,43
1004,175,24,-37,2018-11-22,05:48:00,171
244,1455,39,-31,2018-09-21,06:17:00,
270,307,21,-25,2021-09-29,04:06:00,
1159,200,29,-10,2018-07-26,06:08:00,
610,182,21,-19,2018-11-25,06:21:00,
623,506,28,-18,2019-01-30,05:53:00,181
283,651,18,-14,2021-09-03,03:45:00,119
604,1444,17,-6,2020-08-13,06:57:00,
1660,625,19,-16,2020-02-09,06:32:00,
1472,1782,18,-45,2020-12-21,01:48:00,111
449,748,24,-45,2019-06-28,01:11:00,
1936,185,11,-10,2020-03-20,03:05:00,
816,585,35,-32,2019-10-09,00:02:00,
321,1868,10,-20,2018-03-04,06:42:00,182
483,1459,11,-16,2020-02-01,02:16:00,
188,1951,12,-19,2020-11-12,06:30:00,
701,1521,24,-24,2018-02-22,06:55:00,
404,1965,27,-21,2018-07-08,03:33:00,
447,2011,17,-36,2020-12-18,01:53:00,
1928,2004,33,-32,2020-12-02,03:35:00,
1539,925,10,-10,2021-05-04,06:19:00,
1901,734,17,-15,2020-08-05,07:09:00,
1769,515,28,-13,2018-07-05,07:25:00,
493,1307,10,-20,2020-03-09,04:08:00,
1258,1417,41,-28,2018-07-06,00:56:00,
1788,333,37,-9,2020-11-18,01:46:00,
1759,124,13,-16,2019-10-24,07:38:00,
430,297,42,-38,2020-09-06,06:04:00,
626,1354,40,-13,2019-12-02,00:37:00,
506,1743,44,-31,2019-06-13,06:51:00,
1232,1696,37,-16,2019-01-30,04:48:00,46
1404,1606,11,-36,2020-09-05,03:40:00,
1892,1719,13,-13,2021-06-22,07:50:00,
1988,523,16,-27,2020-04-26,01:00:00,
1025,1338,26,-7,2019-08-23,03:55:00,
1855,782,11,-24,2020-10-14,05:34:00,
810,1870,45,-13,2021-09-07,04:50:00,
593,628,17,-17,2018-10-26,04:43:00,
1128,1257,28,-33,2019-06-06,03:16:00,
508,1603,43,-10,2019-10-30,07:12:00,
1429,224,29,-12,2021-10-25,06:02:00,
814,1360,20,-43,2020-06-17,03:30:00,
574,1843,30,-41,2021-01-05,00:30:00,
943,1532,34,-39,2021-10-23,05:57:00,
1503,1215,41,-28,2020-12-10,03:31:00,
1514,1726,20,-36,2021-07-09,00:01:00,
611,1525,22,-31,2021-05-12,07:07:00,
232,1465,27,-40,2021-06-16,03:06:00,96
1592,634,37,-30,2019-03-12,06:43:00,128
1535,1072,14,-11,2020-02-18,04:12:00,
577,1574,42,-29,2021-04-02,02:35:00,
1032,1445,27,-20,2020-10-01,01:09:00,
1221,1932,33,-10,2020-04-03,02:41:00,
262,1659,34,-21,2020-08-21,06:39:00,
769,703,29,-39,2020-11-20,06:02:00,
1204,505,40,-42,2019-04-10,02:23:00,
231,520,26,-40,2019-07-17,03:56:00,
899,1400,29,-12,2018-01-20,03:24:00,12
624,415,31,-33,2021-05-31,05:08:00,
878,1505,30,-36,2021-10-07,07:59:00,
1346,331,18,-22,2021-04-21,06:40:00,
367,1351,31,-32,2021-03-03,02:47:00,
1274,381,10,-28,2021-02-26,02:15:00,
261,1232,13,-19,2018-04-18,07:50:00,
866,348,34,-38,2021-06-06,05:11:00,
1280,856,33,-27,2019-08-23,03:47:00,
1176,136,33,-10,2019-03-06,03:51:00,
715,449,14,-9,2018-09-02,02:49:00,
1715,896,34,-22,2019-04-25,05:27:00,
718,1527,43,-19,2021-02-13,03:58:00,
975,1108,25,-18,2019-08-07,04:47:00,
1939,446,16,-21,2020-06-17,03:46:00,
318,291,34,-25,2018-07-15,00:36:00,
1381,1535,39,-18,2019-03-10,06:57:00,
983,382,13,-36,2019-02-08,06:41:00,87
1700,1454,22,-33,2020-09-15,05:45:00,
434,915,40,-37,2018-10-11,06:31:00,
1609,1330,10,-45,2020-02-24,05:46:00,166
1849,607,15,-39,2018-11-15,02:13:00,
314,785,18,-20,2018-10-26,05:51:00,
189,1937,44,-15,2021-07-11,03:31:00,
1607,556,41,-45,2018-02-18,06:49:00,
1491,1554,28,-18,2018-05-26,02:47:00,
842,537,25,-10,2018-02-26,01:40:00,
1756,944,17,-14,2021-07-19,02:13:00,181
880,1295,22,-20,2019-12-03,03:47:00,
1078,627,37,-9,2018-09-26,04:46:00,
1481,1076,43,-23,2019-06-30,02:58:00,
621,942,14,-15,2020-07-03,05:50:00,
1973,1243,30,-25,2019-01-22,02:28:00,
538,723,15,-44,2018-09-24,06:33:00,
