player,clan,role,date
#PP2YY2RG,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-17
#80RGP2JPR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-07
#2V9P80RLC,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-29
#998LUCJC,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-19
#9P08GGJ9,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-25
#C00Y8QJ8,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-22
#V9LR928J,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-16
#YU8CCU0Q,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-30
#2YL28LQQJ,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-28
#UQJ9LUP,#28V2QQ9C,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-02
#92YV2YRGR,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-16
#28GUPGY2,#28V2QQ9C,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-09-29
#2RLGQGLC,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-06
#VV929UL9,#28V2QQ9C,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-29
#8P988JLV0,#28V2QQ9C,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-27
#829QLUVVR,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-23
#Q0L92PQ2,#P0LLG9RG,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-27
#CJYP2PV2,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-21
#YRRQUVG9,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-23
#CL08URJ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-10
#8L009JURJ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-22
#YVJQQLPPR,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-06
#UCRG8GGL,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-09
#2VV98UYP0,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-10
#8YQVU90,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-09
#9UCG09099,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-27
#2828LJQ9C,#P0LLG9RG,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-03
#2ULYLVQ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-01
#LRCPJCGP,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-14
#2LVQ2R,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-31
#2YV280Q0,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-29
#9C9G9GP,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-05
#GGL90Q9J,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-28
#2YGCCC8VV,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-07
#89PL0YV,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-31
#2L0RPV822,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-05
#L82V9VVC,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-20
#9JCVUYP,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-29
#8L8VV88C,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-27
#LU8RUR,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-14
#2JR800G,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-25
#29C2U2QPP,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-28
#YL098VV8P,#P0LLG9RG,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-04
#YGYU8Y8V,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-28
#2L9RJL2Q,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-21
#88JVUCJ,#P0LLG9RG,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-10-14
#P8J2V2CQ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-14
#80V8U9U0J,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-06
#QR8JQ8LQ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-02
#2PPJPULJ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-05
#QQCCYJLY,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-11
#8VUPVJ2R,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-24
#CRGUQ2P,#P0LLG9RG,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-26
#2YLQ22YQV,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-16
#989L99QLC,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-15
#2QCUGCPQ,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-10
#2UQ8UC8R9,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-11-11
#9289JQPV9,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-29
#YC0JJ2PV,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-11
#82VJQ22VQ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-21
#VQJ9UUP,#P0LLG9RG,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-30
#2PU98V8QJ,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-04
#2VQQR20,#P0LLG9RG,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-10
#GPU8P0C9,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-10
#28PUV9PRQ,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-13
#LUGVG9PC,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-15
#J9URJR90,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-30
#GUPPRCQ,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-21
#YVPYVV9V,#QCJ0J9UP,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-05
#80V0JULJ,#QCJ0J9UP,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-13
#L2R22CP,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-08
#JJPCVQU8,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-07
#9UUC9L280,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-08
#CQ82JUC,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-04
#2C098VPL,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-21
#J8YPGGJ,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-04
#P9R8CPCUG,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-10
#8QYCJR99,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-16
#R0CG80YG0,#QCJ0J9UP,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-10-31
#V9G8PQGG,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-01
#8VR98PCLC,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-21
#P88L0ULQ,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-22
#2GPURRRCG,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-11
#8RRVL8P,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-28
#208GJV,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-08
#PG28UYQLJ,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-16
#9YYGL9GUQ,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-23
#2QLJPC2R0,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-19
#2Q80QPGCU,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-08
#28GG9QJPY,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-09
#GUQV2YCY,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-23
#UP9QQ9VY,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-29
#2L2UC2LQU,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-14
#2V2QJLU2Y,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-13
#JU0VG99C,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-03
#CQ0YGRU,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-08
#9JLQPU802,#QCJ0J9UP,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-28
#8URCGCLPG,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-23
#VPUQYUY,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-10
#9CRJ0YUVL,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-22
#LCCGJQJC,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-12
#2092CR2RV,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-12
#PP80GVGUP,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-03
#2YJCGYVQ8,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-05
#R2UYQ9898,#QCJ0J9UP,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-17
#90UJPLCQQ,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-14
#RQQQY2L28,#QCJ0J9UP,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-10
#9U22V0P,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-10
#2UJ0RCCUQ,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-28
#8088R0VP,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-27
#9VY20LY8,#PJY9PP98,leader: They have the same privileges as Co-leaders however the Leader is the only player in the Clan who can kick and demote everyone. Transferring leadership of a clan will demote the transferring player's role to Co-Leader and their desired player will take the Leader role.,2021-09-04
#RCGPJGYQ,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-17
#8RRCVCGP,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-21
#98G8PYUQ2,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-29
#CYRL0RY2,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-29
#90UL09LP,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-30
#P09C0GC0,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-18
#RUC9GCUL,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-03
#8L000LJ9Y,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-17
#2YUVY0JL0,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-03
#QQVYGQ0Y,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-08
#P2CLCV8,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-16
#8RYR9L2J,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-17
#L09YGU9,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-26
#QVC8PGUG,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-05
#8UJQPR22,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-23
#P99JPCLQ8,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-15
#2JPPU8YRY,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-02
#280YVGJQU,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-02
#PR009PUL,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-02
#2CRJGPRY,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-09
#R82VQ90R,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-10
#92VY9UPG,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-17
#8V2RJLUL,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-13
#PQLGJ90Y,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-15
#2QY9CYJVY,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-14
#8P2CR00L,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-18
#LRUQQPVU,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-23
#892JJYVC,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-10
#G2RPJVRJ,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-27
#YGYJ220L,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-09
#8U2LRYGR,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-25
#2CRGVCU0,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-14
#2GRUQP9VL,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-05
#9PLYCU229,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-19
#8092RGP8J,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-11
#9089JPLQ,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-31
#22JYR8PR,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-04
#8R2JCGPC,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-08-27
#2GG9JCCRR,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-23
#2LY2GGVR,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-10-31
#R8000P88,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-10
#2YC9QC8L9,#PJY9PP98,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-19
#2JL08GY0,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-09-14
#2CGUPJJU,#PJY9PP98,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-25
#8PY0RCUYG,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-13
#928UL0RR,#PJY9PP98,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-10
#L98JYVL,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-26
#GVLGLJPL,#Y0QR0Y2U,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-09-05
#89LY9LU2Y,#Y0QR0Y2U,coLeader: They can kick/promote/demote members and elders; Recruit/accept players; and are able to change the Clan Settings. They can also promote Elders to Co-Leaders but cannot demote Co-Leaders.,2021-08-22
#9V20UYCRU,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-10
#UCC8QQPU,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-04
#92R9QJYYQ,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-16
#L92P8VU9V,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-19
#9YYCUUYRP,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-09
#VUJYUJLY,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-13
#2VUJQQVGR,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-11-09
#8PV2R08L,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-09-04
#88ULRRLP,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-08-16
#9PUUCCY9J,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-14
#28YC8C2R,#Y0QR0Y2U,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-10-22
#J9LQGLL8,#Y0QR0Y2U,member: They cannot kick or promote nor change the Clan Settings. This is the default role when players join a clan.,2021-11-01
#9RJQ0YG9R,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-07
#YJ2LJU2CR,#Y0QR0Y2U,elder: They are able to kick members once every 20 minutes and invite or accept players to the Clan but are not able to change the Clan Settings.,2021-10-28
